Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2025,"Alan Busenitz","CIN","AAA",34,1,2,4.263160034561174,6,0,0,0,1,0,,6.1,28,8,5,3,1,2,0,0,0,0,5,7.105266724268624,2.8421066897074496,2.5,1.4210533448537248,0.17857143,0.07142857,0.10714286,0.30769231,1.5789481609485831,0.35,0.58139535,4.263160034561174,4.962935096867885,-0.6997750623067107,4.746197526362456,0.35,1,0.2,0.4,0.4,0,0.125,0.47619048,0.23809524,0.28571429,0.1,32,68,100,"15239"
2025,"Cole Sulser","TBR","AAA",35,0,0,0,3,0,0,0,0,0,,4.2,18,4,0,0,0,0,0,0,0,0,6,11.571420689023775,0,6,0,0.33333333,0,0.33333333,0.22222222,0.8571422732610203,0.33333333,1,0,0.9704549322310991,-0.9704549322310991,1.593347154836721,0.33333333,4,0.166666666,0.666666666,0.166666666,0,0,0.41666667,0.33333333,0.25,0.16901408,22,49,71,"15256"
2025,"Kevin Herget","NYM","AAA",34,0,0,5.785710344511887,6,0,0,0,0,0,,4.2,21,7,3,3,2,1,0,0,0,0,1,1.9285701148372958,1.9285701148372958,1,3.8571402296745916,0.04761905,0.04761905,0,0.35,1.7142845465220407,0.29411765,0.96153846,5.785710344511887,9.327592096526047,-3.5418817520141594,6.247736210751903,0.29411765,1,0.157894736,0.421052631,0.421052631,0.125,0.25,0.47368421,0.26315789,0.26315789,0.08641975,31,50,81,"15369"
2025,"Zack Weiss","STL","AAA",33,1,0,3.176468806284284,4,0,0,0,0,0,,5.2,22,3,2,2,2,2,0,1,0,0,7,11.117640821994993,3.176468806284284,3.5,3.176468806284284,0.31818182,0.09090909,0.22727273,0.15789474,0.8823524461900788,0.1,1,3.176468806284284,7.2477620260124915,-4.071293219728208,4.198439687843639,0.1,1,0,0.5,0.5,0.166666666,0.333333333,0.5,0.25,0.25,0.10465116,36,50,86,"15444"
2025,"Lucas Giolito","BOS","AA,AAA",30,0,0,4.695650226903904,3,3,0,0,0,0,,7.2,38,9,4,4,0,7,0,0,0,0,9,10.565213010533785,8.217387897081833,1.28571429,0,0.23684211,0.18421053,0.05263158,0.29032258,2.0869556564017353,0.40909091,0.75,4.695650226903904,4.000190320923611,0.6954599059802931,5.098432302933444,0.40909091,1.333333333,0.363636363,0.363636363,0.272727272,0.166666666,0,0.59090909,0.04545455,0.36363636,0.13142857,79,96,175,"15474"
2025,"Miguel Castro","HOU","AAA",30,0,0,4.04999806881043,7,0,0,0,1,0,,6.2,27,5,3,3,2,2,0,0,0,0,8,10.799994850161147,2.6999987125402867,4,2.6999987125402867,0.2962963,0.07407407,0.22222222,0.2,1.0499994993212227,0.2,0.95238095,4.04999806881043,6.112506771088192,-2.0625087022777624,3.673866186835398,0.2,1.6,0.1875,0.5,0.3125,0.2,0.4,0.35294118,0.41176471,0.23529412,0.15044248,36,77,113,"15684"
2025,"Erick Mejia","WSN","A",30,0,0,8.437505029144901,4,0,0,0,1,0,,5.1,22,4,5,5,2,1,0,0,1,0,7,11.812507040802862,1.68750100582898,7,3.37500201165796,0.31818182,0.04545455,0.27272727,0.19047619,0.9375005587938778,0.16666667,0,8.437505029144901,6.890875060857342,1.5466299682875597,3.046022163792717,0.16666667,0.833333333,0.153846153,0.384615384,0.461538461,0,0.333333333,0.35714286,0.28571429,0.35714286,0.15841584,39,62,101,"15817"
2025,"Wander Suero","ATL","AAA",33,0,0,1.3499993562701433,5,0,0,0,1,0,,6.2,36,8,5,1,0,5,0,1,0,0,11,14.849992918971576,6.749996781350717,2.2,0,0.30555556,0.13888889,0.16666667,0.26666667,1.9499990701679848,0.42105263,0.64285714,1.3499993562701433,2.9418820381163187,-1.5918826818461753,4.685980617833678,0.42105263,0.375,0.352941176,0.176470588,0.470588235,0.375,0,0.47368421,0.15789474,0.36842105,0.125,45,91,136,"15855"
2025,"Brady Feigl","MIN","A",34,0,0,0,1,0,0,0,0,0,,1,4,0,0,0,0,1,0,0,0,0,1,9,9,1,0,0.25,0.25,0,0,1,0,1,0,5.048044157028198,-5.048044157028198,5.048044157028198,0,2,0,1,0,0,0,0.5,0.5,0,0.05,10,10,20,"15968"
2025,"Nick Burdi","BOS","AAA",32,1,0,0,5,0,0,0,0,0,,6.2,24,3,0,0,0,1,0,0,0,0,11,14.849992918971576,1.3499993562701433,11,0,0.45833333,0.04166667,0.41666667,0.13043478,0.5999997138978415,0.25,1,0,0.691883110999413,-0.691883110999413,1.781944723322763,0.25,1.2,0.083333333,0.5,0.416666666,0.4,0,0.41666667,0.16666667,0.41666667,0.19767442,26,60,86,"16074"
2025,"John Curtiss","ARI","AAA",32,0,0,10.125,6,0,0,0,0,0,,8,39,14,9,9,2,3,0,0,0,0,4,4.5,3.375,1.33333333,2.25,0.1025641,0.07692308,0.02564103,0.38888889,2.125,0.4,0.56338028,10.125,7.087507915496826,3.0374920845031737,6.029545294865966,0.4,1.444444444,0.3125,0.40625,0.28125,0.111111111,0.222222222,0.4375,0.3125,0.25,0.10294118,47,89,136,"16128"
2025,"Brandon Leibrandt","NYY","AAA",32,1,0,2,4,4,0,0,0,0,,18,73,13,4,4,3,9,0,0,0,0,18,9,4.5,2,1.5,0.24657534,0.12328767,0.12328767,0.203125,1.2222222222222223,0.23255814,1,2,5.208548418680827,-3.2085484186808273,4.010825869441033,0.23255814,1.916666666,0.222222222,0.511111111,0.266666666,0.5,0.25,0.42553191,0.17021277,0.40425532,0.14338235,104,168,272,"16135"
2025,"Brandon Woodruff","MIL","AAA",32,0,0,4.909086333822937,1,1,0,0,0,0,,3.2,17,4,2,2,0,2,0,0,0,0,5,12.27271583455734,4.909086333822937,2.5,0,0.29411765,0.11764706,0.17647059,0.26666667,1.636362111274312,0.4,0.66666667,4.909086333822937,2.4509736778312856,2.458112655991651,4.432902979955613,0.4,0.4,0.3,0.2,0.5,0,0,0.1,0.5,0.4,0.07575758,22,44,66,"16162"
2025,"Justin Anderson","CHW","AAA",32,0,0,7.94117201571071,4,0,0,0,0,0,,5.2,26,7,5,5,1,2,0,1,2,1,8,12.705875225137136,3.176468806284284,4,1.588234403142142,0.30769231,0.07692308,0.23076923,0.30434783,1.588234403142142,0.42857143,0.58139535,7.94117201571071,4.600704687442255,3.3404673282684554,4.101983773037534,0.42857143,0.857142857,0.133333333,0.4,0.466666666,0,0.142857142,0.46666667,0.4,0.13333333,0.22093023,31,55,86,"16201"
2025,"Victor Gonzalez","LAA","AAA",29,1,0,2.25,5,0,0,0,0,0,,8,36,5,3,2,1,4,0,2,0,0,8,9,4.5,2,1.125,0.22222222,0.11111111,0.11111111,0.16666667,1.125,0.19047619,0.83333333,2.25,5.587507915496826,-3.3375079154968263,6.885224421322346,0.19047619,0.416666666,0.105263157,0.263157894,0.631578947,0.25,0.083333333,0.28571429,0.38095238,0.33333333,0.10687023,56,75,131,"16408"
2025,"Scott Blewett","MIN","AAA",29,0,1,11.57144551863525,2,0,0,0,0,1,,2.1,12,3,3,3,0,2,0,0,0,0,3,11.57144551863525,7.7142970124235,1.5,0,0.25,0.16666667,0.08333333,0.3,2.14286028122875,0.42857143,0.4,11.57144551863525,3.5418817520141603,8.029563766621088,6.033455988771308,0.42857143,0.5,0.142857142,0.285714285,0.571428571,0,0,0.42857143,0.42857143,0.14285714,0.1,13,27,40,"16427"
2025,"Jacob Nottingham","SEA","AAA",30,0,0,26.99986401268786,1,0,0,0,0,0,,0.2,6,1,2,2,0,2,0,1,0,0,0,0,26.99986401268786,0,0,0,0.33333333,-0.33333333,0.33333333,4.499977335447976,0.33333333,0.5,26.99986401268786,17.212439921840755,9.787424090847104,20.13514170720843,0.33333333,1,0.333333333,0.333333333,0.333333333,0,0,0,0.66666667,0.33333333,0,11,8,19,"16448"
2025,"Dan Altavilla","CHW","AAA",32,1,1,4.5,7,0,0,0,2,0,,8,37,7,6,4,1,7,0,1,0,0,7,7.875,7.875,1,1.125,0.18918919,0.18918919,0,0.24137931,1.75,0.28571429,0.66176471,4.5,6.41688175201416,-1.9168817520141603,6.245297928154469,0.28571429,1,0.272727272,0.363636363,0.363636363,0.25,0.125,0.27272727,0.45454545,0.27272727,0.08,63,87,150,"16507"
2025,"Austin Gomber","COL","AAA",31,0,1,4.5,1,1,0,0,0,0,,4,17,3,2,2,1,2,0,0,0,0,5,11.25,4.5,2.5,2.25,0.29411765,0.11764706,0.17647059,0.2,1.25,0.22222222,0.83333333,4.5,5.962507915496826,-1.4625079154968263,5.635224421322346,0.22222222,0.666666666,0,0.4,0.6,0.333333333,0.166666666,0.5,0.3,0.2,0.13636364,27,39,66,"16561"
2025,"J.P. Feyereisen","ARI","AAA",32,1,0,0.9642860427195831,7,0,0,0,0,0,,9.1,39,12,1,1,0,2,0,0,0,0,7,6.750002299037082,1.9285720854391661,3.5,0,0.17948718,0.05128205,0.12820513,0.32432432,1.5000005108971293,0.4,0.92857143,0.9642860427195831,2.8553647664127526,-1.8910787236931696,4.107957981254396,0.4,2.5,0.3,0.5,0.2,0.5,0,0.43333333,0.3,0.26666667,0.06716418,47,87,134,"16610"
2025,"Jeff Brigham","ARI","AAA",33,2,1,6.749996781350717,6,0,0,0,0,1,,6.2,29,6,5,5,4,3,0,0,0,0,10,13.499993562701434,4.04999806881043,3.33333333,5.399997425080573,0.34482759,0.10344828,0.24137931,0.23076923,1.3499993562701433,0.16666667,1,6.749996781350717,9.862504982949702,-3.1125082015989847,4.108409280794208,0.16666667,0.857142857,0.1875,0.375,0.4375,0,0.571428571,0.4375,0.3125,0.25,0.13392857,39,73,112,"16631"
