Name,Team,Season,Age,OPS,HR,R,RBI,SB,CS,PA,AB,AVG,BABIP,BB,H,1B,2B,3B,GDP,HBP,ISO,SO,OBP,SLG,SF,WAR,wOBA,wRAA,wRC,wRC+,wSB,K%,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Josh Smith","TEX",2024,26,0.731169588,13,67,62,11,2,592,523,0.258126195,0.311224489,46,135,91,30,1,6,18,0.135755258,121,0.337288135,0.393881453,3,2.8132341946132033,0.3227134973367325,5.972378351053811,75.22339675601444,110.81133451815832,0.17455416917800903,0.204391891,0.03685504,0.36855037,"Josh Smith",26396,669701
"Stuart Fairchild","CIN",2024,28,0.654135337,8,33,30,13,1,233,209,0.215311004,0.26056338,17,45,29,8,0,1,4,0.153110048,60,0.285714285,0.368421052,1,0.21758987680342784,0.28830328493407276,-4.102417401298196,23.15347328849205,77.2399236736128,1.8003725111484528,0.257510729,0.07894737,0.36842105,"Stuart Fairchild",20321,656413
"Pete Crow-Armstrong","CHC",2024,22,0.670478253,10,46,47,27,3,410,372,0.236559139,0.292134831,21,88,59,13,6,4,6,0.147849463,98,0.286069651,0.384408602,3,2.6969551025778813,0.2894473162293434,-6.841324004517953,41.11968536378249,87.03000305892458,3.5220173746347427,0.23902439,0.07368421,0.36842105,"Pete Crow-Armstrong",27769,691718
"Jesse Winker","- - -",2024,30,0.764334956,14,63,58,14,4,508,430,0.253488372,0.303514376,63,109,72,23,0,12,10,0.15116279,106,0.359683794,0.404651162,3,1.2506042221168465,0.33783508328691364,11.346101899126984,70.77096228716752,118.27959855506761,0.05135800689458847,0.208661417,0.07598784,0.36778116,"Jesse Winker",13590,608385
"Jake Meyers","HOU",2024,28,0.646361276,13,51,61,11,3,513,461,0.219088937,0.262686567,35,101,65,20,3,17,10,0.14099783,117,0.286274509,0.360086767,4,2.029464134621489,0.28458094643611537,-10.569290072844298,49.44046067334625,85.51589887204575,0.11681434512138367,0.228070175,0.06837607,0.36752137,"Jake Meyers",20308,676694
"Jhonkensy Noel","CLE",2024,22,0.773912306,13,25,28,0,0,198,179,0.217877094,0.25,13,39,18,7,1,1,5,0.268156425,63,0.287878787,0.486033519,1,0.6091364737166781,0.3305375124468948,3.2443719981831487,26.406030180923363,117.54082989994534,-0.28412720561027527,0.318181818,0.14529915,0.36752137,"Jhonkensy Noel",24257,678877
"Brett Harris","OAK",2024,26,0.538558686,3,15,12,0,3,123,103,0.145631067,0.157894736,17,15,9,3,0,3,2,0.116504855,25,0.276422764,0.262135922,1,-0.2581441626090332,0.2520583286518004,-5.7538259762255235,8.634476834264607,65.06386404492507,-1.4360070526599884,0.203252032,0.05063291,0.36708861,"Brett Harris",29788,695391
"Derek Hill","- - -",2024,28,0.690341321,7,19,25,6,2,172,162,0.24074074,0.32,5,39,26,4,2,2,2,0.179012346,56,0.270588235,0.419753086,1,0.15769463521418065,0.29620820178705104,-1.9548108283987167,18.165417491961467,88.3852054323093,0.12953726202249527,0.325581395,0.11009174,0.36697248,"Derek Hill",16947,656537
"Ben Rice","NYY",2024,25,0.612729153,7,20,23,0,1,178,152,0.171052631,0.186274509,20,26,13,6,0,2,1,0.177631579,48,0.264044943,0.34868421,5,-0.2859378351398443,0.2687584282307143,-5.934132589706937,14.887964160433254,72.83453500752114,-0.6733487695455551,0.269662921,0.1559633,0.36697248,"Ben Rice",29576,700250
"Ceddanne Rafaela","BOS",2024,23,0.663871084,15,70,75,19,10,571,544,0.246323529,0.312335958,15,134,91,23,5,8,7,0.143382353,151,0.274165202,0.389705882,3,0.8611475458494673,0.28604016988210273,-11.09363547452304,55.70084342620756,79.20161346957882,-1.1340153366327286,0.264448336,0.07537688,0.36683417,"Ceddanne Rafaela",24262,678882
